501  11
1.515 1.52
C	b0	maxLength	maxGain	maxGain[dB]
0.019	1.51559	128.138	54.413	649
0.0191	1.51559	127.467	54.3714	650
0.0192	1.51559	126.803	54.3311	651
0.0193	1.51559	126.146	54.2914	652
0.0194	1.51559	125.496	54.2505	653
0.0195	1.51559	124.853	54.2091	654
0.0196	1.51559	124.216	54.1685	655
0.0197	1.51559	123.585	54.1279	656
0.0198	1.51559	122.961	54.0865	657
0.0199	1.51559	122.344	54.0438	658
0.02	1.51559	121.732	53.9993	659
0.019	1.5156	128.138	54.4578	660
0.0191	1.5156	127.467	54.416	661
0.0192	1.5156	126.803	54.3754	662
0.0193	1.5156	126.146	54.3356	663
0.0194	1.5156	125.496	54.2945	664
0.0195	1.5156	124.853	54.2528	665
0.0196	1.5156	124.216	54.2121	666
